graph,n,k,query,test,time-update,time-noupdate,update-frac
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.714826,0.370462,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.747413,0.370860,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.752641,0.371493,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.757029,0.371875,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.710612,0.373015,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.747186,0.371246,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.737012,0.372671,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.739152,0.376481,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.708739,0.368534,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.764607,0.376350,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.743562,0.375812,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.734349,0.370177,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.707366,0.376696,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.748669,0.367226,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.752305,0.364934,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.733894,0.366664,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.690064,0.365713,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.741640,0.368291,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.754302,0.378523,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.731230,0.364089,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.702673,0.369840,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.761301,0.370289,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.753321,0.377013,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.738290,0.368625,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.698084,0.365371,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.751281,0.377604,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.747936,0.375925,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.725059,0.367882,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.707683,0.372912,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.753477,0.363566,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.756306,0.369335,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.732994,0.371288,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.710652,0.371603,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.766923,0.365465,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.770508,0.369525,1.000000
../data/road-ou1.edges,0,0,insert,2.753657e-10,0.746203,0.369425,1.000000
