vert,bc
1076493111,0.005674059118544942
1076493113,0.015283854823629605
1076493114,0.008444991381027946
1076493115,0.001130727761455077
1076493116,0.005782387747834858
1076493121,0.012071294826359507
1076493123,0.017306528155181616
1076493124,0.005476763710773659
1076493126,0.0001844127408575444
1076493129,0.01540005566811073
1076493131,0.00853496389971748
1076493132,0.022406820595775975
1076493134,0.0016782715208195683
1076493138,0.006322961619412594
1076493139,0.016812718499681432
1076493140,0.005295194258766262
1076493141,0.006827457646892726
1076493144,2.9780183852013657e-05
1076493146,0.0012919976631139616
1076493157,0.005573814036058069
1076493160,0.016419868067972732
1076493161,0.015664684301377647
1076493163,0.005383737247522816
1076493164,0.011209107321843683
1076493165,0.005898692005119641
1076493166,0.015526787045147783
1076493167,0.008689217952343592
1115036978,0.0030543921724493685
1115036979,0.0055160559150945285
1115036980,0.0027657667759807512
1115036983,0.0012703192753832854
1115036991,0.0007339920877624768
1115036994,0.0030309012444017795
1115036999,0.006361092529502434
1115037009,0.012200461359424604
1115037021,0.003117752228462247
1115037025,0.016683950083812606
1115037026,0.003212246200826999
1266340252,0.0006327204695360958
1410597832,0.016942970390166824
1410610307,0.012026561466518254
1410610309,0.020449886984032276
1410610312,0.015888301089604127
1410610313,0.012982865000970914
1411199915,0.0021117768736625343
1411199916,0.0031261466443991697
1411751019,0.006009096448266322
1411751020,0.0009228438545983688
1411751021,0.0014049291438321173
1411751022,0.0005481200773422293
1411751023,0.014434420381349738
1411751024,0.01393722167325995
1411751311,0.014095426493589752
1411751313,0.002703103155151612
1411751352,0.005686785728987579
1411751357,0.0006078569516803823
1411752228,0.0017234466612849797
1411752243,0.0010107264659604456
1411752246,0.006205873800165654
1411752248,0.0026104478901157295
1423610197,0.003966537629421739
1474242213,0.00028559845178731527
1474242214,0.0002355322356003394
1474242218,0.055003359323194646
1474242223,0.08723038637742409
1474242233,0.06441896712611218
1474242266,0.03242174345031638
1474242277,0.03228081815905117
1474242278,0.03215411381804122
1474242279,0.032317343831664944
1474242280,0.027737411551685867
1474242281,0.027591498113420484
1474242282,0.02745006364364487
1474242288,0.027316861644121584
1474242293,0.027229278434327125
1474242294,0.027183274381212107
1474242295,0.02716183255871857
1474242300,0.047947161285581213
1474242301,0.024860391652926354
1474242305,0.020536407188512438
1474242306,0.019431769193210057
1474242307,0.01927663646970315
1474242308,0.01912162991432272
1474242309,0.018966927514247178
1474242310,0.0188129370628853
1474242312,0.018745853920640355
1474242313,0.008952434246827517
1474242314,0.008793611105621294
1474242315,0.008635152950780938
1474242316,0.008476816458062537
1474242317,0.008319088275953915
1474242322,0.0045018427711012166
1474242323,0.003060079035859947
1474242324,0.0029000257554206176
1474242328,0.002743149208165684
1474242347,0.0026835550454277803
1474242361,0.0019191924872215796
1474242468,0.0006462151197737907
1474850830,0.10187609115427476
1474850879,0.0954812289247467
1474850880,0.09463856161962755
1474850881,0.09465252798062761
1474850882,0.095267390320973
1474850884,0.09230654970351353
