n,p-or-m,type,seed,m,err-dm,err-es,time-brandes,time-dm,time-es
300,0.600000,random,690810917,26845,8.760373e-22,2.241627e-26,0.112194,0.159774,0.277956
300,0.600000,random,951062264,27076,7.794601e-22,1.999289e-26,0.109053,0.162182,0.261778
300,0.600000,random,2377511459,27113,8.561459e-22,2.211335e-26,0.108260,0.162128,0.227385
300,0.600000,random,337524999,26845,8.567326e-22,2.620280e-26,0.108179,0.165908,0.239196
500,0.500000,random,2216268492,62557,6.164906e-21,1.563081e-25,0.400894,0.872706,1.370282
500,0.500000,random,3270048461,62513,6.773855e-21,1.861964e-25,0.417275,0.935924,1.218647
500,0.600000,random,2988593867,75005,4.224824e-21,1.377288e-25,0.571151,1.129597,1.740030
500,0.600000,random,2756539788,74908,4.963480e-21,1.365171e-25,0.511671,0.836842,1.710168
500,0.600000,random,4234187520,74732,7.064699e-21,1.290450e-25,0.496680,1.161656,1.670813
500,0.600000,random,2499651327,74801,4.256373e-21,1.429795e-25,0.499704,1.065151,1.683389
500,0.600000,random,3463310251,74909,6.639410e-21,1.401522e-25,0.501644,0.823953,1.706378
500,0.600000,random,1640851453,74972,4.734156e-21,1.185437e-25,0.508583,0.840331,1.597419
500,0.600000,random,3568826450,74904,4.487198e-21,1.278333e-25,0.502040,0.979705,1.534365
100,0.700000,random,3601280648,3501,2.539501e-26,3.660315e-28,0.004441,0.005745,0.004408
100,0.700000,random,3709686014,3420,2.524670e-26,3.155444e-28,0.009112,0.016359,0.004407
100,0.700000,random,2129918535,3451,3.792212e-26,3.407879e-28,0.004472,0.006422,0.004707
100,0.700000,random,3326359302,3471,1.958268e-26,3.660315e-28,0.014994,0.013423,0.006158
100,0.700000,random,1211921151,3480,3.700704e-26,2.871454e-28,0.004340,0.005523,0.005178
100,0.700000,random,1780396333,3448,3.504120e-26,2.682127e-28,0.004367,0.005699,0.006506
100,0.700000,random,102894173,3473,1.553740e-26,2.555909e-28,0.004466,0.005636,0.007096
100,0.700000,random,1767407264,3479,2.186407e-26,2.398137e-28,0.004460,0.005823,0.005241
100,0.700000,random,911766264,3463,1.801758e-26,3.250107e-28,0.004401,0.005769,0.005382
100,0.700000,random,2779235348,3466,1.928292e-26,2.524355e-28,0.004295,0.005591,0.006012
500,0.600000,random,2723540248,75038,5.174434e-21,1.433834e-25,0.502020,1.075277,1.524910
300,0.700000,random,1049279043,31335,5.706317e-24,1.191496e-26,0.115342,0.163821,0.242412
300,0.700000,random,3643834503,31359,2.678492e-24,1.024888e-26,0.113769,0.162842,0.244682
300,0.700000,random,3114237980,31442,2.145166e-23,9.844984e-27,0.114821,0.164179,0.267396
300,0.700000,random,3191899263,31508,7.163513e-24,9.895471e-27,0.113862,0.160625,0.253943
300,0.700000,random,2648996582,31355,2.829600e-24,1.221788e-26,0.116105,0.165885,0.277323
300,0.700000,random,1112648466,31466,2.516883e-24,1.014791e-26,0.113912,0.168704,0.252461
300,0.700000,random,2325516857,31467,6.116411e-24,1.115765e-26,0.111622,0.162042,0.267079
300,0.700000,random,230227778,31311,4.869481e-24,1.146057e-26,0.113912,0.163261,0.231904
300,0.700000,random,3626631786,31378,3.811422e-24,1.151106e-26,0.111480,0.161543,0.282968
300,0.700000,random,2089348303,31337,3.430548e-24,1.231885e-26,0.111111,0.164848,0.254310
500,0.600000,random,3954297015,74811,7.186916e-21,1.349015e-25,0.502567,0.885455,1.482272
500,0.600000,random,1569578447,75026,7.465089e-21,1.308626e-25,0.502306,0.828248,1.696229
500,0.700000,random,3269899568,87480,5.310097e-21,5.301145e-26,0.525476,0.847032,1.546938
500,0.700000,random,764107456,87246,5.786332e-21,5.846406e-26,0.526270,0.842630,1.524444
500,0.700000,random,2795634809,87257,6.138889e-21,5.937283e-26,0.520357,0.913183,1.560229
